Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2016,JOSEPH RUDMAN,ECO,73270,WRITING FOR ECONOMST,A,Lect,9,20,45%,5.67,4.67,4.67,4.56,5,4.67,4.56,4.56,4.56,4.44
Fall,2016,V.EMILY STARK,ECO,73270,WRITING FOR ECONOMST,A,Lect,8,15,53%,8.43,5,4.63,4.75,4.88,4.63,4.5,5,4.75,4.75
Spring,2016,JOSEPH RUDMAN,ECO,73270,WRITING FOR ECONOMST,B,Lect,7,19,37%,5,3.71,3.71,3.86,4.14,3.86,3.43,3.43,3.43,3
Fall,2016,JOSEPH RUDMAN,ECO,73270,WRITING FOR ECONOMST,B,Lect,8,14,57%,7.25,4.63,4.13,4.25,4.25,4,4.13,4.63,4.25,3.88
Spring,2016,JOACHIM GROEGER,ECO,73274,ECONOMETRICS I,1,Lect,12,20,60%,10,4.33,3.08,3,3.17,4.08,2.92,4.58,3.58,2.25
Spring,2016,MEHMET YENMEZ,ECO,73315,MARKET DESIGN,A,Lect,31,52,60%,7.31,4.45,4.42,4.45,4.16,4.61,4.52,4.68,4.48,4.39
Spring,2016,"GASPER, J. (co-taught)",ECO,73327,ADVTOPMACROREALBUSCY,W,Lect,4,5,80%,6.5,4.5,4.5,4.5,4.5,4.5,4.5,5,4.75,4.75
Spring,2016,"KYDLAND, F. (co-taught)",ECO,73327,ADVTOPMACROREALBUSCY,W,Lect,4,5,80%,7.25,4.5,4.5,4.5,4.5,4.5,4.75,5,4.75,4.5
Fall,2016,MARTIN GAYNOR,ECO,73328,HEALTH ECONOMICS,A,Lect,3,7,43%,7,4.33,4.67,4.67,3.67,4.67,4.67,5,4.33,4.33
Spring,2016,ARIEL ZETLIN-JONES,ECO,73338,FINANCIAL CRIS & RSK,A,Lect,16,26,62%,8.19,5,4.94,4.94,4.88,4.94,4.88,5,4.94,4.81
Spring,2016,ALEXEY KUSHNIR,ECO,73341,WTH FIRM: MNG THR IN,A,Lect,15,20,75%,8.6,4.6,4.4,4.47,4.07,4.53,4.47,4.53,4.27,4.2
Fall,2016,ISA HAFALIR,ECO,73347,GAME THEORY ECON,A,Lect,11,26,42%,10.09,4.27,4,4.18,3.73,4.27,3.91,4.82,4,4
Spring,2016,ONUR KESTEN,ECO,73347,GAME THEORY ECON,W,Lect,6,6,100%,8,4.5,4.33,4.5,4.67,4.67,4.67,4.83,4.67,4.67
Spring,2016,ELIF INCEKARA HAFALIR,ECO,73348,BEHAVIORAL ECONOMCS,A,Lect,20,38,53%,7.9,3.95,3.89,3.79,3.63,4.05,3.63,3.63,3.53,3.47
Fall,2016,CHRISTINA FONG,ECO,73352,PUBLIC ECONOMICS,A,Lect,8,20,40%,7.63,5,4.88,4.88,4.88,4.88,4.88,4.88,4.75,4.75
Spring,2016,CHESTER SPATT,ECO,73353,EC REG FIN MKTS,A,Lect,4,8,50%,4.25,4,2.75,3.33,3.5,4.25,4.25,4.75,3.5,3.5
Fall,2016,STEPHEN CALABRESE,ECO,73359,BENEFIT-COST ANALYSS,W,Lect,12,19,63%,7.5,4.75,4.75,4.83,4.58,4.75,4.75,4.92,4.42,4.58
Fall,2016,YAROSLAV KRYUKOV,ECO,73365,FRMS MARKET STRC STR,A,Lect,19,24,79%,8.16,4.26,4.32,4.32,3.58,4.47,3.95,4.63,4,4
Spring,2016,HAKKI YAZICI,ECO,73372,INTNL MONEY/FINANCE,A,Lect,11,28,39%,6.64,3.64,3.55,4.09,3,3.55,3.09,4.27,3.55,3.64
Fall,2016,DAVID CHILDERS,ECO,73374,ECONOMETRICS II,1,Lect,15,34,44%,11.93,2.87,2.33,2.6,2,3.13,1.93,4.07,1.93,2
Fall,2016,DAVID CHILDERS,ECO,73374,ECONOMETRICS II,2,Lect,7,13,54%,11.43,4.29,4,3.43,2.67,3.43,3.14,4.14,2.86,2.86
Spring,2016,ANTONIO MIRALLES,ECO,73407,FNDML STATCL MODELNG,A,Lect,13,31,42%,6.85,3.85,3.77,3.46,3.31,3.08,3.62,4.23,3.08,3.08
Spring,2016,AMAL HELU,ECO,73407,FNDML STATCL MODELNG,W,Lect,2,2,100%,9.5,4,3.5,3.5,4,3.5,3.5,3.5,3.5,3
Spring,2016,KAREN CLAY,ECO,73408,LAW & ECONOMICS,A,Lect,8,15,53%,7.63,4.63,4.38,4.63,4.38,4.5,4.5,4.88,4.5,4.5
Fall,2016,LAURENCE ALES,ECO,73421,EMERGING MARKETS,A,Lect,13,24,54%,7.31,4.92,4.92,5,5,4.92,5,5,4.92,4.92
Fall,2016,KATHARINE ANDERSON,ECO,73449,SOC ECON & INFO NTWK,A,Lect,5,10,50%,6.2,4.6,4.6,4,4.2,4.2,4.2,5,4,4.2
Fall,2016,KATHLEEN CONWAY,ECO,73450,ECONOMICS COLLOQUM,A2,Lect,22,39,56%,3.48,4.27,4.32,4.27,4.14,4.32,4.27,4.05,3.91,4.09
Fall,2016,KATHLEEN CONWAY,ECO,73451,COLLOQUIUM IND STUDY,A2,Lect,4,13,31%,2,3.75,3.75,3,3,3,3.25,3.75,3.25,3.25
