Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Fall,2016,"REID-MILLER, M. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,1,Lect,74,140,53%,9.46,4,3.85,3.88,3.47,3.86,3.66,4.22,3.59,3.63
Spring,2016,"REID-MILLER, M. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,44,78,56%,11.14,3.84,3.72,3.81,3.49,3.88,3.71,4.23,3.63,3.74
Spring,2016,"KAYNAR, Z. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,44,78,56%,11.32,3.85,3.85,3.9,3.61,3.88,3.76,4.22,3.71,3.68
Spring,2016,"BALZER, S. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,44,78,56%,10.89,4.12,3.88,3.88,3.61,3.95,3.83,4.17,3.8,3.73
Fall,2016,"RIVERS, K. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,71,140,51%,9.37,4.1,4.24,4.32,3.76,4.23,4.01,4.44,3.9,3.71
Fall,2016,"REID-MILLER, M. (co-taught)",CS,15110,PRINCPLS OF COMPUTNG,2,Lect,71,140,51%,9.38,3.83,3.75,3.75,3.38,3.71,3.38,4.16,3.35,3.55
Summer,2016,NORMAN BIER,CS,15110,PRINCPLS OF COMPUTNG,E,Lect,13,30,43%,15.77,4.54,4.62,4.69,4.54,4.69,4.62,4.92,4.54,4.54
Summer,2016,NORMAN BIER,CS,15110,PRINCPLS OF COMPUTNG,U,Lect,5,19,26%,19.8,4.6,4,4.4,4,4.8,4.6,4.8,4.4,4.6
Fall,2016,HOUDA BOUAMOR,CS,15110,PRINCPLS OF COMPUTNG,W,Lect,14,22,64%,13.64,4.57,4.79,4.57,4.21,4.36,4.5,4.79,4.43,4.43
Spring,2016,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,146,220,66%,18.72,4.91,4.81,4.79,4.55,4.86,4.77,4.7,4.81,4.8
Fall,2016,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,153,214,71%,17.07,4.84,4.81,4.78,4.59,4.82,4.67,4.64,4.73,4.7
Spring,2016,ANIL ADA,CS,15112,FNDMTLS OF PGMG & CS,2,Lect,128,192,67%,19.68,4.68,4.66,4.69,4.48,4.72,4.7,4.79,4.67,4.57
Fall,2016,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,2,Lect,117,181,65%,16.73,4.86,4.77,4.85,4.46,4.86,4.61,4.69,4.73,4.69
Summer,2016,VICTOR ADAMCHIK,CS,15112,FNDMTLS OF PGMG & CS,E,Lect,19,34,56%,18.95,4.39,4.42,4.32,3.89,4.68,4.68,4.68,4.42,4.63
Summer,2016,ANIL ADA,CS,15112,FNDMTLS OF PGMG & CS,S,Lect,40,54,74%,24.27,4.9,4.88,4.93,4.8,4.9,4.95,4.97,4.97,4.88
Spring,2016,HOUDA BOUAMOR,CS,15112,FNDMTLS OF PGMG & CS,W,Lect,25,40,62%,11.96,4.68,4.36,4.52,4.4,4.68,4.68,4.72,4.56,4.48
Fall,2016,SAQUIB RAZAK,CS,15112,FNDMTLS OF PGMG & CS,W,Lect,15,26,58%,17,4.93,4.93,5,4.67,4.8,4.93,4.93,5,4.87
Spring,2016,JACOBO CARRASQUEL,CS,15121,INTRO DATA STRUCTURS,1,Lect,9,12,75%,9.71,2.67,3.56,3.44,2.44,3.33,3.22,2.56,2.89,2.56
Fall,2016,MICHAEL MCCARTHY,CS,15121,INTRO DATA STRUCTURS,1,Lect,22,29,76%,11.64,3.23,3.18,3.05,2.5,3.45,3.05,4.23,2.86,2.77
Summer,2016,HOUDA BOUAMOR,CS,15121,INTRO DATA STRUCTURS,S,Lect,3,5,60%,24,5,5,5,5,5,5,5,5,5
Fall,2016,HOUDA BOUAMOR,CS,15121,INTRO DATA STRUCTURS,W,Lect,19,29,66%,14.95,4.16,3.84,3.89,3.47,4.16,3.95,4.11,3.53,3.74
