Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Type,Responses,Enrollment,Resp. Rate %,1: ABET: Apply knowledge,2: ABET: Realistic Constraints,3: ABET: Function on Teams,4: ABET: Ethical responsibility,5: ABET: Effective Communication,"6: ABET: Global, etc. contexts",7: ABET: Life-long learning,8: ABET: Knowledge Contemporary Issues,9: ABET: Use skills,10: Hrs Per Week 9,11: Interest in student learning,12: Explain course requirements,13: Clear learning goals,14: Instructor provides Feedback to students,15: Importance of subject,16: Explains subject matter,17: Show respect for students,18: Overall teaching,19: Overall course,,
Fall,2016,MARIO BERGES,CEE,12752,ST: DATA BLDG EN MGT,A2,Lect,31,38,82%,10.93,4.32,3.97,3.81,3.84,4.03,4.06,4.77,4.19,4.16,,,,,,,,,,,
Spring,2016,JACOBO BIELAK,CEE,12755,FINITE ELEM MECH I,A,Lect,10,15,67%,12.6,4.6,4.6,4.8,4.7,4.7,4.7,4.9,4.7,4.7,,,,,,,,,,,
Fall,2016,JACOBO BIELAK,CEE,12755,FINITE ELEM MECH I,A,Lect,12,15,80%,16.33,4.83,4.92,4.75,4.58,4.67,4.67,4.92,4.83,4.75,,,,,,,,,,,
Spring,2016,HAE YOUNG NOH,CEE,12761,ST SENS DATA MINING,A,Lect,11,13,85%,12,4.64,4.45,4.64,4.55,4.55,4.45,4.82,4.27,4.27,,,,,,,,,,,
Spring,2016,KELLY KLIMA,CEE,12765,INT CLM ADP INN CRTL,A3,Lect,16,29,55%,7.81,3.56,3.63,3.56,3.69,3.81,3.75,4.44,3.69,3.38,,,,,,,,,,,
Fall,2016,PARTH VAISHNAV,CEE,12766,ST: CLIMATE CHG,A,Lect,16,21,76%,7,4.81,4.56,4.56,4.5,4.63,4.81,4.81,4.69,4.5,,,,,,,,,,,
Fall,2016,MAARTEN DE BOER,CEE,12775,INTRO SLD MECHANICS,A,Lect,3,3,100%,13.33,4.67,4,4.33,4.33,4.33,4.33,4.67,4.33,3.67,,,,,,,,,,,
Fall,2016,XUESONG LIU,CEE,12780,ST:ADV PYTHON,A2,Lect,45,63,71%,9.45,4.62,4.49,4.6,4.38,4.49,4.55,4.82,4.62,4.61,,,,,,,,,,,
Spring,2016,AMIT ACHARYA,CEE,12782,ST PLASTICITY DISLOC,A,Lect,4,4,100%,8,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,ZHEN QIAN,CEE,12783,GEOGRPHC INFO SYSTEM,B,Lect,14,19,74%,9.62,4.43,4.5,4.43,4.43,4.5,4.5,4.64,4.29,4.43,,,,,,,,,,,
Fall,2016,ZHEN QIAN,CEE,12789,GROWTH INTELLG TRANS,A2,Lect,12,17,71%,7,4.67,4.5,4.75,4.5,4.83,4.42,4.83,4.67,4.58,,,,,,,,,,,
Fall,2016,DAVID DZOMBAK,CEE,12790,TEACHING WORKSHOP,A,Lect,9,13,69%,3,4.89,4.89,5,4.78,5,4.78,5,4.89,4.89,,,,,,,,,,,
Spring,2016,GREGORY LOWRY,CEE,12794,GRADUATE SEMINAR,A,Lect,12,36,33%,2,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,,,,,,,,,,,
Fall,2016,MEAGAN MAUTER,CEE,12794,GRADUATE SEMINAR,A,Lect,18,30,60%,2,4.24,4.13,4.13,4.06,3.94,4,4.31,4.25,4.11,,,,,,,,,,,
Spring,2016,SUSAN FINGER,CEE,12794,GRADUATE SEMINAR,B,Lect,12,18,67%,6.3,5,4.83,4.83,4.83,4.67,4.5,4.92,4.83,4.73,,,,,,,,,,,
Fall,2016,MATTEO POZZI,CEE,12794,GRADUATE SEMINAR,B,Lect,13,19,68%,2.5,4.46,4.15,4.31,4.31,4.38,4.23,4.46,4.31,4.23,,,,,,,,,,,
Spring,2016,AMIT ACHARYA,CEE,12794,GRADUATE SEMINAR,C,Lect,7,10,70%,2,4.43,4.57,4.43,4.43,4.43,4.43,4.43,4.43,4.43,,,,,,,,,,,
Fall,2016,JACOBO BIELAK,CEE,12794,GRADUATE SEMINAR,C,Lect,6,11,55%,2,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,DAVID DZOMBAK,CEE,12794,GRADUATE SEMINAR,D,Lect,73,108,68%,2.3,4.45,4.45,4.44,4.35,4.45,4.48,4.61,4.48,4.45,,,,,,,,,,,
Fall,2016,DAVID DZOMBAK,CEE,12794,GRADUATE SEMINAR,D,Lect,83,121,69%,2.77,4.52,4.5,4.5,4.44,4.48,4.45,4.62,4.54,4.47,,,,,,,,,,,
Spring,2016,DAVID DZOMBAK,CEE,12796,ST: COMM RESEARCH,A4,Lect,6,14,43%,5.75,4.5,4.67,4.83,4.17,4.83,4.67,4.83,4.67,4.67,,,,,,,,,,,
Fall,2016,ANDREA FRANCIONI ROONEY,CEE,12798,PROF COMM CEE GRAD,A,Lect,3,6,50%,3,5,5,5,5,4.67,4.67,5,4.67,4.67,,,,,,,,,,,
Fall,2016,ANDREA FRANCIONI ROONEY,CEE,12798,PROF COMM CEE GRAD,B,Lect,7,8,88%,2.86,5,5,5,5,4.86,4.86,5,5,4.86,,,,,,,,,,,
Summer,2016,MATTHEW CLINE,CHE,6052,FNDMTL CHE PRACTICE,E,Lect,5,7,71%,15.6,4.6,4.4,4.4,2.8,4.6,4.4,4.6,3.8,4,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CHE,6100,INTRO TO CHEM ENGR,1,Lect,26,33,79%,8.52,4.23,4.08,4.12,3.73,4.08,3.85,4.35,3.92,3.88,,,,,,,,,,,
Fall,2016,JAMES SCHNEIDER,CHE,6100,INTRO TO CHEM ENGR,1,Lect,33,59,56%,8.45,4.61,4.61,4.61,4.45,4.61,4.64,4.79,4.67,4.47,,,,,,,,,,,
Fall,2016,KRIS DAHL,CHE,6221,THERMODYNAMICS,A,Lect,48,73,66%,9.19,4.85,4.5,4.6,4.21,4.67,4.56,4.77,4.6,4.58,,,,,,,,,,,
Spring,2016,MYUNG JHON,CHE,6261,FLUID MECHANICS,A,Lect,34,79,43%,10.41,3.47,3.74,3.62,3.35,3.97,3.56,3.55,3.65,3.67,,,,,,,,,,,
Spring,2016,ADITYA KHAIR,CHE,6262,MATH MTHDS CHEM ENGR,A,Lect,36,77,47%,9.42,4.61,4.56,4.56,4.31,4.53,4.39,4.69,4.25,4.28,,,,,,,,,,,
Fall,2016,MICHAEL DOMACH,CHE,6321,CHEM ENGR THERMDYNMC,A,Lect,31,78,40%,7,3.16,2.74,2.68,2.29,3.1,2.26,3.29,2.39,2.48,,,,,,,,,,,
Fall,2016,SUSANA STEPPAN,CHE,6323,HEAT & MASS TRANSFER,A,Lect,29,76,38%,9.39,4.72,4.55,4.59,4.31,4.45,4.59,4.83,4.55,4.48,,,,,,,,,,,
Spring,2016,KATHRYN WHITEHEAD,CHE,6361,UNIT OP CHEMICAL ENG,A,Lect,49,62,79%,7.27,4.69,4.61,4.65,4.16,4.78,4.69,4.51,4.63,4.63,,,,,,,,,,,
Spring,2016,LYNN WALKER,CHE,6363,TRANSPORT PROCSS LAB,1,Lect,32,59,54%,9.5,4.06,3.59,3.75,3.72,3.94,3.5,3.9,3.59,3.5,,,,,,,,,,,
Spring,2016,MICHAEL DOMACH,CHE,6364,CHEMCL REACTION ENGN,A,Lect,39,62,63%,7.21,3.49,2.69,2.62,2.82,3.23,2.23,4.03,2.38,2.44,,,,,,,,,,,
Fall,2016,"GROSSMANN, I. (co-taught)",CHE,6421,CHEM PROCS SYS DESGN,A,Lect,40,70,57%,20.3,4,3.95,4.13,3.8,4.13,3.79,4.05,3.65,3.63,,,,,,,,,,,
Fall,2016,"SIIROLA, J. (co-taught)",CHE,6421,CHEM PROCS SYS DESGN,A,Lect,40,70,57%,19.64,4.75,4.23,4.45,4.52,4.78,4.52,4.68,4.6,4.2,,,,,,,,,,,
Fall,2016,B ERIK YDSTIE,CHE,6423,UNIT OPERATIONS LAB,1,Lect,27,64,42%,8,3.62,3.12,3.19,3.35,3.23,3.42,4.5,3.38,2.89,,,,,,,,,,,
Fall,2016,ROSEMARY FROLLINI,CHE,6426,EXP COLLD SURFC SCI,A,Lect,1,2,50%,14,4,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,"DONAHUE, N. (co-taught)",CHE,6460,ST: CLIMATE FOR CHE,A,Lect,5,9,56%,5.6,4.8,4,4,4.6,5,4.6,5,4.4,4,,,,,,,,,,,
Spring,2016,"GROSSMANN, I. (co-taught)",CHE,6460,ST: CLIMATE FOR CHE,A,Lect,5,9,56%,5.75,4.8,4.2,4,4.4,5,4.8,5,4.4,4.2,,,,,,,,,,,
Spring,2016,CHRYSANTHOS GOUNARIS,CHE,6462,OPTM MDG & ALGRTHMS,A3,Lect,32,60,53%,8.19,4.75,4.41,4.41,4.19,4.41,4.45,4.53,4.47,4.44,,,,,,,,,,,
Spring,2016,CHRYSANTHOS GOUNARIS,CHE,6463,CHEMICAL PRDT DESIGN,A4,Lect,25,60,42%,8.36,4.52,4.32,4.36,4.44,4.28,4.08,4.6,4.52,4.2,,,,,,,,,,,
Spring,2016,MARK DAICHENDT,CHE,6464,CHML ENG PROCESS CNT,A,Lect,24,54,44%,15.88,1.92,1.75,1.71,1.5,1.67,1.5,1.92,1.29,1.42,,,,,,,,,,,
Spring,2016,ROSEMARY FROLLINI,CHE,6466,EXPERMTL POLYMER SCI,A,Lect,1,3,33%,8,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,JEFFREY SIIROLA,CHE,6500,SPECIAL TOPICS,A,Lect,43,76,57%,7.63,4.56,4.58,4.64,4.43,4.63,4.68,4.78,4.73,4.63,,,,,,,,,,,
Fall,2016,LORENZ BIEGLER,CHE,6606,COMP MTH L SC PR DS,A,Lect,21,28,75%,11.05,4.33,4.33,4.24,4.14,4.43,4.19,4.75,4,4.24,,,,,,,,,,,
Spring,2016,DENNIS PRIEVE,CHE,6607,PHYS CHEM COLL SURF,A,Lect,17,25,68%,12.06,4.35,4.29,4.35,3.94,4.29,4.24,4.59,4.29,4.18,,,,,,,,,,,
Fall,2016,JAMES SCHNEIDER,CHE,6608,SAFTY IN SCI/ENG PRA,A,Lect,50,77,65%,2.52,4.44,4.54,4.54,4.2,4.41,4.41,4.41,4.41,4.29,,,,,,,,,,,
Fall,2016,TOMASZ KOWALEWSKI,CHE,6609,PHYS CHEM MACROMOL,A,Lect,10,14,71%,7.33,4.5,4.1,4,3.4,4.3,3.8,4.7,3.5,3.6,,,,,,,,,,,
Spring,2016,NIKOLAOS SAHINIDIS,CHE,6611,SPEC TPCS: CS IN CHE,A,Lect,6,10,60%,10,5,4.33,4.5,4.67,4.67,4.33,5,4.67,4.5,,,,,,,,,,,
Fall,2016,LYNN WALKER,CHE,6623,MTHML MDL CHM ENG PC,A,Lect,38,53,72%,11.19,4.41,4.39,4.46,4.26,4.37,4.42,4.34,4.32,4.26,,,,,,,,,,,
Fall,2016,JOHN KITCHIN,CHE,6625,CHMCL & REACTV SYSTM,A,Lect,40,55,73%,11.82,4.63,4.72,4.65,4.58,4.6,4.72,4.8,4.63,4.52,,,,,,,,,,,
Spring,2016,JOHN KITCHIN,CHE,6640,PRINC & APP MOLE SIM,A,Lect,11,15,73%,12.36,4,4.09,4,3.91,3.82,3.82,4.27,3.91,3.82,,,,,,,,,,,
Spring,2016,PAUL SIDES,CHE,6663,ANLY & MDG TRNSP PHN,A,Lect,23,38,61%,11.17,3.83,3.65,3.91,3.39,4.04,4,4.13,3.83,3.57,,,,,,,,,,,
Spring,2016,MARK DAICHENDT,CHE,6665,PROCESS SYSTEMS MDLG,A,Lect,22,37,59%,15.73,3.27,3.32,3.32,3.27,3.23,2.82,3.73,2.77,2.82,,,,,,,,,,,
Fall,2016,JEFFREY SIIROLA,CHE,6681,SP TP: PROC SYN,A,Lect,30,55,55%,3.33,4.47,4.57,4.5,4.23,4.67,4.63,4.7,4.63,4.53,,,,,,,,,,,
Spring,2016,ANDREW GELLMAN,CHE,6702,ADVANCED KINETICS,A,Lect,7,9,78%,10.29,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,,,,,,,,,,,
Fall,2016,DENNIS PRIEVE,CHE,6703,ADV FLUID DYNAMICS,A,Lect,12,20,60%,8.75,4.33,4.5,4.42,3.58,4.08,4.08,4.5,3.92,3.92,,,,,,,,,,,
Spring,2016,SHELLEY ANNA,CHE,6704,ADV HEAT MASS TRANS,A,Lect,6,11,55%,13,4.83,4.83,4.83,4.67,4.67,4.83,5,4.83,4.83,,,,,,,,,,,
Fall,2016,NIKOLAOS SAHINIDIS,CHE,6705,ADV CHE THRMODYNMCS,A,Lect,19,32,59%,11,3.63,3.79,3.95,3.37,3.95,3.42,4.68,3.53,3.53,,,,,,,,,,,
Fall,2016,ADITYA KHAIR,CHE,6713,MATH TECH CHEM ENGR,A,Lect,13,21,62%,11,4.69,4.46,4.23,4,4.69,4.54,4.62,4.31,4.23,,,,,,,,,,,
Spring,2016,ANDREW GELLMAN,CHE,6714,SURFCS AND ADSORP,A,Lect,5,5,100%,12.2,4.4,4.4,4.4,4,4.8,4.6,4.8,4.4,4.4,,,,,,,,,,,
Fall,2016,PAUL SIDES,CHE,6716,ELECTROCHEM ENGR,A,Lect,7,11,64%,10.17,4.57,4.14,3.71,4.57,4.57,4.43,4.71,4.14,4.29,,,,,,,,,,,
Spring,2016,IGNACIO GROSSMANN,CHE,6720,ADV PROC SYS ENGIN,A,Lect,14,18,78%,13.29,4.71,4.86,4.93,4.36,4.93,4.86,5,4.93,4.93,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CHE,6777,CPS LAB III,A,Lect,1,2,50%,21,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CHE,6777,CPS LAB III,B,Lect,3,3,100%,9,4.67,4.67,4.67,4.33,4.33,4,5,4.33,4.33,,,,,,,,,,,
Fall,2016,"TILTON, R. (co-taught)",CHE,6779,SP TPC,A,Lect,9,12,75%,9.67,4.78,4.56,4.56,3.89,4.44,4.44,4.89,4.56,4.22,,,,,,,,,,,
Fall,2016,"DESERNO, M. (co-taught)",CHE,6779,SP TPC,A,Lect,9,12,75%,10,4.89,4.56,4.44,4,4.75,4.5,5,4.44,4.25,,,,,,,,,,,
Fall,2016,"STEPPAN, S. (co-taught)",CHE,6801,CLD PLM SRF LAB I,A,Lect,1,5,20%,17,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,"FROLLINI, R. (co-taught)",CHE,6801,CLD PLM SRF LAB I,A,Lect,1,5,20%,17,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,"STEPPAN, S. (co-taught)",CHE,6801,CLD PLM SRF LAB I,B,Lect,5,8,62%,8.75,4.6,4.6,4.6,4.2,4.6,4.8,4.8,4.8,4.6,,,,,,,,,,,
Fall,2016,"FROLLINI, R. (co-taught)",CHE,6801,CLD PLM SRF LAB I,B,Lect,5,8,62%,10.4,4.4,4.6,4.5,4.4,4.2,4.6,4.6,4.6,4.6,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CHE,6802,CLDS PLYM SURF LB II,A,Lect,2,3,67%,11,5,4.5,5,4,5,5,5,5,5,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CHE,6802,CLDS PLYM SURF LB II,B,Lect,3,6,50%,12,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,KATHRYN WHITEHEAD,CHE,6804,SP TPC: DRUG DEL SYS,A,Lect,14,16,88%,7.14,4.79,4.79,4.71,4.71,4.86,4.86,4.86,4.79,4.79,,,,,,,,,,,
Spring,2016,EGON BALAS,CHE,6805,SPC TPC:DISJNTV PROG,A4,Lect,5,9,56%,14.2,4.6,4.4,3.8,4,4.2,4.4,4.8,4.2,4.2,,,,,,,,,,,
Fall,2016,CHRYSANTHOS GOUNARIS,CHE,6815,SP TP: PSE,A,Lect,4,4,100%,8.75,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,"JACOBSON, A. (co-taught)",CIT,39220,EXPERNTL LEARNG II,B,Lect,52,144,36%,2.61,3,3.11,3.03,2.95,2.92,2.97,3.24,2.97,2.95,,,,,,,,,,,
Fall,2016,"Larsen, K. (co-taught)",CIT,39220,EXPERNTL LEARNG II,B,Lect,52,144,36%,2.78,3.06,3.18,3.09,2.94,2.94,3.03,3.29,2.97,2.88,,,,,,,,,,,
Fall,2016,"KISSEL, K. (co-taught)",CIT,39220,EXPERNTL LEARNG II,B,Lect,52,144,36%,2.93,2.83,2.97,2.86,2.76,2.72,2.79,3.14,2.76,2.76,,,,,,,,,,,
Fall,2016,"BONIME, T. (co-taught)",CIT,39220,EXPERNTL LEARNG II,B,Lect,52,144,36%,2.86,2.97,3.1,3,2.9,2.87,2.94,3.26,2.9,2.9,,,,,,,,,,,
Fall,2016,"SHUKLA, N. (co-taught)",CIT,39220,EXPERNTL LEARNG II,B,Lect,52,144,36%,2.9,3.06,3.19,3.1,3,2.97,3.03,3.35,3,3,,,,,,,,,,,
Spring,2016,SUSAN FINGER,CIT,39245,RAPID PROTOTYPE DSGN,A,Lect,16,28,57%,5.6,4.88,3.75,3.81,4.06,4.19,4.07,4.88,4.31,3.81,,,,,,,,,,,
Fall,2016,"JACOBSON, A. (co-taught)",CIT,39310,EXPERITAL LEARN III,A,Lect,88,250,35%,2.49,3.44,3.62,3.58,3.35,3.39,3.43,3.65,3.5,3.31,,,,,,,,,,,
Fall,2016,"Larsen, K. (co-taught)",CIT,39310,EXPERITAL LEARN III,A,Lect,88,250,35%,2.43,3.42,3.6,3.56,3.34,3.43,3.4,3.57,3.5,3.38,,,,,,,,,,,
Fall,2016,"KISSEL, K. (co-taught)",CIT,39310,EXPERITAL LEARN III,A,Lect,88,250,35%,2.32,3.47,3.7,3.61,3.4,3.46,3.47,3.63,3.54,3.42,,,,,,,,,,,
Fall,2016,"BONIME, T. (co-taught)",CIT,39310,EXPERITAL LEARN III,A,Lect,88,250,35%,2.32,3.53,3.7,3.68,3.46,3.51,3.53,3.65,3.56,3.43,,,,,,,,,,,
Fall,2016,"SHUKLA, N. (co-taught)",CIT,39310,EXPERITAL LEARN III,A,Lect,88,250,35%,2.36,3.5,3.62,3.6,3.43,3.49,3.5,3.64,3.53,3.43,,,,,,,,,,,
Fall,2016,JEFFERY HANSEN,CIT,39605,ENGINEERING DSGN PRJ,A,Lect,3,10,30%,9,3.33,3.67,3.33,3.67,3.67,3.33,5,3.33,3.67,,,,,,,,,,,
Spring,2016,JEFFERY HANSEN,CIT,39606,ENGINEERING DSGN PRJ,A,Lect,6,9,67%,9,3.17,4,4.17,2.5,3.67,3.33,3.5,3.17,3.17,,,,,,,,,,,
Fall,2016,YOOSUF PICARD,CIT,39610,ENERGY CONVRN & SUPP,A1,Lect,25,35,71%,8.96,3.92,4.08,4.04,3.96,4.08,3.48,4.32,3.84,3.8,,,,,,,,,,,
Spring,2016,CONSTANTINOS SAMARAS,CIT,39611,ENRY DEMD & UTILZTN,A3,Lect,29,30,97%,7.79,4.66,4.48,4.41,4.28,4.59,4.62,4.76,4.52,4.34,,,,,,,,,,,
Spring,2016,JAY WHITACRE,CIT,39612,ENGY POLICY & ECONMC,A4,Lect,21,24,88%,11,4.14,4.38,4.19,3.71,4.38,4.14,4.71,4.19,4.24,,,,,,,,,,,
Fall,2016,DAVID LANDIS,CIT,39613,ENGY TRNSPT & STRGE,A2,Lect,32,38,84%,7.81,4.13,3.88,3.72,3.72,3.78,3.13,4.72,3.41,3.34,,,,,,,,,,,
Fall,2016,ILHEM-FAIZA HAKEM,CIT,39652,CIT SPECIAL TOPICS,A1,Lect,6,9,67%,11,4.83,4.33,4.67,4.67,4.83,4.67,5,4.67,4.67,,,,,,,,,,,
Summer,2016,DAVID LANDIS,CIT,39660,ESTP PROJECT,A,Lect,3,4,75%,5,4.67,4.67,4.67,4.33,4.67,4.67,4.33,4.67,4.33,,,,,,,,,,,
Fall,2016,DAVID LANDIS,CIT,39660,ESTP PROJECT,A,Lect,3,3,100%,15.33,4.33,4.67,4.33,4.67,4.67,4.33,4.67,4.5,4.67,,,,,,,,,,,
Fall,2016,LAUREN HILDESHEIM,CIT,39699,CPDC ENG MASTERS,C1,Lect,23,26,88%,4.74,4.74,4.78,4.74,4.26,4.7,4.61,4.91,4.74,4.48,,,,,,,,,,,
Fall,2016,SUSAN FINGER,CIT,39705,SP TPCS ENGR DESIGN,A,Lect,1,3,33%,24,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,"STEPPAN, S. (co-taught)",CIT,39801,COLL POLY SUR LAB I,A,Lect,3,5,60%,9,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,,,,,,,,,,,
Fall,2016,"FROLLINI, R. (co-taught)",CIT,39801,COLL POLY SUR LAB I,A,Lect,3,5,60%,8,4,4,4,4,4,4,4,4,4,,,,,,,,,,,
Fall,2016,"STEPPAN, S. (co-taught)",CIT,39801,COLL POLY SUR LAB I,B,Lect,1,2,50%,14,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,"FROLLINI, R. (co-taught)",CIT,39801,COLL POLY SUR LAB I,B,Lect,1,2,50%,14,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CIT,39802,COL POLY SUR LAB II,A,Lect,4,6,67%,12.75,4,4.25,4.25,3.75,4.25,4.25,4.25,4.25,4.25,,,,,,,,,,,
Spring,2016,ANNETTE JACOBSON,CIT,39802,COL POLY SUR LAB II,B,Lect,3,5,60%,12,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Spring,2016,SUSANA STEPPAN,CIT,39803,CPS LAB III,A,Lect,1,3,33%,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,
Fall,2016,JESSE STILES,ECE,18090,TWST SIG: MLTMD PRO,A,Lect,7,15,47%,8.43,4.86,4.57,4.71,4.29,4.57,4.29,4.71,4.43,4.43,,,,,,,,,,,
Spring,2016,THOMAS SULLIVAN,ECE,18100,INTRO ELEC COMP ENG,1,Lect,72,116,62%,10.16,3.9,4.04,4.11,3.63,4.21,3.96,4.37,3.8,3.77,,,,,,,,,,,
Fall,2016,"SULLIVAN, T. (co-taught)",ECE,18100,INTRO ELEC COMP ENG,1,Lect,77,144,53%,11.3,3.92,3.93,3.83,3.43,3.93,3.63,4.38,3.66,3.59,,,,,,,,,,,
Fall,2016,"CARLEY, L. (co-taught)",ECE,18100,INTRO ELEC COMP ENG,1,Lect,77,144,53%,11.38,3.92,3.7,3.7,3.49,3.76,3.37,4.34,3.43,3.63,,,,,,,,,,,
Summer,2016,THOMAS SULLIVAN,ECE,18100,INTRO ELEC COMP ENG,E,Lect,18,37,49%,20.44,4.56,4.39,4.5,3.72,4.56,4.33,4.83,4.28,4.72,,,,,,,,,,,
Fall,2016,DIANA MARCULESCU,ECE,18200,ECE SOPH SEMINAR,A1,Lect,65,204,32%,2.33,4.17,4.23,4.19,3.8,4.08,4.08,4.28,4.02,3.78,,,,,,,,,,,
Spring,2016,"KAR, S. (co-taught)",ECE,18202,MATH FNDTN ELEC ENGR,1,Lect,48,80,60%,6.43,3.42,3.66,3.53,3.34,3.31,3.35,4.1,3.23,3.5,,,,,,,,,,,
Spring,2016,"LI, X. (co-taught)",ECE,18202,MATH FNDTN ELEC ENGR,1,Lect,48,80,60%,6.5,4.15,4.35,4.25,3.98,4.09,4.17,4.44,4.1,3.88,,,,,,,,,,,
Fall,2016,"SULLIVAN, T. (co-taught)",ECE,18202,MATH FNDTN ELEC ENGR,1,Lect,61,103,59%,7.25,4.61,4.56,4.56,4.23,4.52,4.43,4.74,4.36,4.16,,,,,,,,,,,
Fall,2016,"FRANCHETTI, F. (co-taught)",ECE,18202,MATH FNDTN ELEC ENGR,1,Lect,61,103,59%,6.8,4.56,4.13,4.16,3.95,4.23,3.82,4.66,3.89,4,,,,,,,,,,,
Spring,2016,"GOLDSTEIN, S. (co-taught)",ECE,18213,INTR CMPTR SYSTEMS,1,Lect,31,73,42%,12.73,4.3,4.37,4.43,4,4.66,4.48,4.34,4.31,4.24,,,,,,,,,,,
Spring,2016,"FRANCHETTI, F. (co-taught)",ECE,18213,INTR CMPTR SYSTEMS,1,Lect,31,73,42%,12.48,4.27,4.13,4.03,3.77,4.33,4.1,4.5,4,4.2,,,,,,,,,,,
Fall,2016,"Bryant, R. (co-taught)",ECE,18213,INTR CMPTR SYSTEMS,1,Lect,55,110,50%,16.55,3.96,4.22,4.28,3.69,4.24,3.94,4.44,3.87,4.04,,,,,,,,,,,
Fall,2016,"GIBBONS, P. (co-taught)",ECE,18213,INTR CMPTR SYSTEMS,1,Lect,55,110,50%,16.59,3.77,3.88,3.88,3.46,3.87,3.6,4.13,3.61,3.79,,,,,,,,,,,
Summer,2016,BRIAN RAILING,ECE,18213,INTR CMPTR SYSTEMS,A,Lect,3,15,20%,20.33,4.33,4,4.33,3.67,4.67,4.33,5,4.33,4.33,,,,,,,,,,,
Spring,2016,"WELDON, J. (co-taught)",ECE,18220,ELETRONC DEVC ANL CR,1,Lect,36,84,43%,8.83,4.22,4.19,4.36,3.81,4.11,4.08,4.42,3.97,3.81,,,,,,,,,,,
Spring,2016,"KELLY, S. (co-taught)",ECE,18220,ELETRONC DEVC ANL CR,1,Lect,36,84,43%,8.75,4.33,4.14,4.25,3.81,4.17,4.14,4.44,4.11,3.86,,,,,,,,,,,
Fall,2016,"BAIN, J. (co-taught)",ECE,18220,ELETRONC DEVC ANL CR,1,Lect,88,93,95%,10.2,4.59,4.22,4.16,4.1,4.15,3.82,4.77,4.08,3.6,,,,,,,,,,,
Fall,2016,"KELLY, S. (co-taught)",ECE,18220,ELETRONC DEVC ANL CR,1,Lect,88,93,95%,10.16,4.53,4.28,4.24,4.15,4.28,4.14,4.68,4.18,3.68,,,,,,,,,,,
Spring,2016,"THOMAS, D. (co-taught)",ECE,18240,STRC DES DIGTL SYSTM,1,Lect,83,83,100%,12.29,4.62,4.77,4.78,4.29,4.71,4.68,4.76,4.49,4.41,,,,,,,,,,,
Spring,2016,"NACE, W. (co-taught)",ECE,18240,STRC DES DIGTL SYSTM,1,Lect,83,83,100%,12.2,4.77,4.78,4.9,4.46,4.8,4.83,4.76,4.75,4.49,,,,,,,,,,,
Fall,2016,WILLIAM NACE,ECE,18240,STRC DES DIGTL SYSTM,1,Lect,86,86,100%,14.26,4.87,4.84,4.83,4.32,4.84,4.62,4.95,4.64,4.34,,,,,,,,,,,
Spring,2016,"STERN, R. (co-taught)",ECE,18290,SIGNALS & SYSTEMS,1,Lect,46,93,49%,15.42,4.2,3.85,3.67,3.78,4.11,3.61,4.35,3.67,3.35,,,,,,,,,,,
Spring,2016,"SANKARANARAYANAN, A. (co-taught)",ECE,18290,SIGNALS & SYSTEMS,1,Lect,46,93,49%,15.26,4.17,4.09,4.11,3.98,4.07,4.2,4.35,4.13,3.63,,,,,,,,,,,
Fall,2016,"YU, B. (co-taught)",ECE,18290,SIGNALS & SYSTEMS,1,Lect,72,115,63%,12.42,4.5,4.47,4.5,4.01,4.52,4.48,4.58,4.38,4.37,,,,,,,,,,,
Fall,2016,"GROVER, P. (co-taught)",ECE,18290,SIGNALS & SYSTEMS,1,Lect,72,115,63%,12.51,4.55,4.46,4.48,4.15,4.45,4.44,4.63,4.39,4.37,,,,,,,,,,,
Fall,2016,MAYSAM CHAMANZAR,ECE,18300,FUND ELECTROMAGNETCS,1,Lect,16,16,100%,8.4,4.81,4.56,4.69,4.56,4.94,4.56,4.88,4.5,4.44,,,,,,,,,,,
